Species,Individual,VpdL
Colts Foot,1,1.039980703
Colts Foot,2,1.090728009
Colts Foot,3,1.044144274
Colts Foot,4,1.185861309
Colts Foot,5,1.256150028
Athfil-HL,1,1.307600582
Athfil-HL,2,1.374795341
Athfil-HL,3,1.252920176
Athfil-HL,4,1.213079586
Athfil-HL,5,1.222902322
Rumex,1,0.820257009
Rumex,2,0.863355099
Rumex,3,0.908221239
Rumex,4,0.900766567
Rumex,5,0.847670961
Osmcin,1,1.8404773
Osmcin,2,1.014241365
Osmcin,3,1.15205771
Osmcin,4,1.544409718
Osmcin,5,1.673266861
Drycri,1,1.084099515
Drycri,2,1.268688421
Drycri,3,1.622504161
Drycri,4,1.658442584
Drycri,5,1.550909608
Onosen,1,1.573357811
Onosen,2,1.47823524
Onosen,3,1.533272938
Onosen,4,1.363819219
Onosen,5,1.398626475
Aritri,1,1.589733954
Aritri,2,1.560027568
Aritri,3,1.638749937
Aritri,4,1.56334848
Aritri,5,1.762235642
Drymar,1,1.492265807
Drymar,2,1.456116111
Drymar,3,1.381063471
Drymar,4,1.476737745
Drymar,5,1.338233382
Adiped,1,1.329553703
Adiped,2,1.417119702
Adiped,3,1.293470874
Adiped,4,1.426441212
Adiped,5,1.362696293
Denpun,1,1.412123884
Denpun,2,1.516535595
Denpun,3,1.727418607
Denpun,4,1.559929806
Denpun,5,1.755277
Thenov,1,1.649563202
Thenov,2,1.651532654
Thenov,3,1.627919437
Thenov,4,1.769146936
Thenov,5,1.7183057
Osmcla,1,1.700252836
Osmcla,2,1.608601553
Osmcla,3,1.708760025
Osmcla,4,1.080303795
Osmcla,5,1.080530329
Viola,1,1.080561777
Viola,2,1.118982647
Viola,3,0.9893963
Viola,4,0.944649409
Viola,5,1.002350318
Depacr,1,1.13304836
Depacr,2,1.130307905
Depacr,3,1.080112869
Depacr,4,1.066181475
Depacr,5,1.07044539
Nettle,1,0.938303104
Nettle,2,1.031792948
Nettle,3,0.866922129
Nettle,4,0.972037101
Nettle,5,0.977750557
Phecon,1,1.146974788
Phecon,2,1.103994544
Phecon,3,1.124867637
Phecon,4,1.060647983
Phecon,5,1.061101753
Athfil- ML,1,1.098210835
Athfil- ML,2,1.129137172
Athfil- ML,3,1.275936854
Athfil- ML,4,1.241602644
Athfil- ML,5,1.153826297
Polacr,1,1.806865591
Polacr,2,1.983126269
Polacr,3,2.019095445
Polacr,4,1.933375695
Polacr,5,1.871264276
Dryint,1,1.045315482
Dryint,2,0.993751887
Dryint,4,1.188390318
Dryint,5,1.391283277
Dryint,6,1.601294564
Pteaqu,3,1.222345206
Pteaqu,4,1.597435884
Pteaqu,5,1.981658159
Pteaqu,6,0.944891504
Pteaqu,7,0.573318728
Onosen-LC,1,1.050183079
Onosen-LC,2,0.674273981
Onosen-LC,3,0.765102315
Onosen-LC,4,0.855460279
Onosen-LC,5,0.785055034
Dendro,1,0.994569789
Dendro,2,0.865250943
Dendro,3,1.010043821
Dendro,4,1.185430584
Dendro,5,1.30807175
Lyccla,1,0.783883228
Lyccla,2,0.871918501
Lyccla,3,0.949469971
Lyccla,4,1.020848797
Lyccla,5,1.150545844
Dipdig,1,1.431867132
Dipdig,2,1.491068852
Dipdig,3,1.615855557
Dipdig,4,2.047318705
Dipdig,5,2.002771681
opp. Deltate,1,1.06631881
opp. Deltate,2,1.062585954
opp. Deltate,3,1.209382398
opp. Deltate,4,1.710128056
opp. Deltate,5,1.602523673
zigzag stem,1,1.721539099
zigzag stem,2,1.97871575
zigzag stem,3,1.975260034
zigzag stem,4,2.047476614
zigzag stem,5,2.389846393
lystall,1,2.488402393
lystall,4,1.508686244
lystall,7,1.828225998
lystall,8,2.223908615
lystall,9,2.219735131
jewelweed,1,2.617809971
jewelweed,2,2.322330366
jewelweed,3,2.129432169
jewelweed,4,1.649222397
jewelweed,5,1.343812587
Joepye,1,1.314595214
Joepye,2,1.412948005
Joepye,3,1.101389145
Joepye,4,1.637132834
Joepye,6,1.216735433
