species,individual,plant_group,canopy,Photo,n_perc,c_perc,Cond,Ci,Trmmol,Site
ari_tri,1,Angio,Closed,3.469856894,3.07,44.3,0.033302528,215.9370192,0.561400453,Hyuck
ari_tri,2,Angio,Closed,4.807629631,3.7,44.71,0.047696553,218.3168133,0.784354186,Hyuck
ari_tri,3,Angio,Closed,4.564651943,3.54,44.76,0.033337338,162.138784,0.578108015,Hyuck
ari_tri,4,Angio,Closed,4.83351042,3.83,43.82,0.055299398,239.2147983,0.907411332,Hyuck
ari_tri,5,Angio,Closed,1.955569339,2.65,43.42,0.009496422,58.98693682,0.178312981,Hyuck
imp_pal,1,Angio,Closed,3.154258016,2.6,41.88,0.045448252,265.3276094,1.260968045,Hyuck
imp_pal,2,Angio,Closed,5.462511075,2.77,37.01,0.095721858,281.1440189,2.317791211,Hyuck
imp_pal,3,Angio,Closed,6.181524527,3.41,41.22,0.100254439,271.9282959,2.22207893,Hyuck
imp_pal,4,Angio,Closed,5.09458194,2.68,40.62,0.062389992,246.3292251,1.084598418,Hyuck
imp_pal,5,Angio,Closed,5.700002587,2.79,42.48,0.203656495,330.4929673,2.756226135,Hyuck
eup_pur,1,Angio,Open,13.53943122,3.66,42.49,0.247140012,280.4001301,3.242648925,Hyuck
eup_pur,2,Angio,Open,14.12512945,3.2,38.4,0.210530428,259.4562234,3.01628399,Hyuck
eup_pur,3,Angio,Open,15.78798379,3.61,42.14,0.369683268,297.1736937,3.917913356,Hyuck
eup_pur,4,Angio,Open,15.42449428,2.86,40.86,0.301185863,280.4350372,4.916955996,Hyuck
eup_pur,6,Angio,Open,16.59836823,2.76,42.85,0.296005257,260.5082709,3.515242131,Hyuck
lystall,1,Angio,Open,4.164823697,2.12,43.85,0.035455619,192.1731516,0.943849284,Hyuck
lystall,4,Angio,Open,6.819992071,0.95,43,0.071738101,222.2335231,1.12778491,Hyuck
lystall,7,Angio,Open,6.973079009,1.01,42.21,0.089561205,246.3546997,1.699003432,Hyuck
lystall,8,Angio,Open,4.782809019,1.05,39.15,0.048753112,218.053748,1.141478493,Hyuck
lystall,9,Angio,Open,7.564978022,,31.26,0.086480283,228.2722882,1.999131732,Hyuck
opp. Deltate,1,Angio,Closed,6.645705633,4.02,42.18,0.087926803,255.9115026,0.972375816,Hyuck
opp. Deltate,2,Angio,Closed,5.626286429,4.22,41.92,0.093233229,282.4416476,1.025011343,Hyuck
opp. Deltate,3,Angio,Closed,4.976085043,4.22,41.63,0.083155359,284.1797678,1.04630387,Hyuck
opp. Deltate,4,Angio,Closed,5.922771098,3.76,42.36,0.076416037,250.2032847,1.370454277,Hyuck
opp. Deltate,5,Angio,Closed,5.651886278,2.83,41.68,0.072724728,252.1927283,1.22104583,Hyuck
rum_ace,1,Angio,Open,16.87273647,2.52,42.68,0.574813997,312.1042062,4.285198704,Hyuck
rum_ace,2,Angio,Open,15.89453341,2.52,42.48,0.609080473,319.60909,4.732416615,Hyuck
rum_ace,3,Angio,Open,16.68200072,2.31,43.41,0.562886445,311.6055982,4.660576436,Hyuck
rum_ace,4,Angio,Open,20.02884611,2.65,41.31,0.643944195,302.184611,5.169928691,Hyuck
rum_ace,5,Angio,Open,21.04461224,2.96,36.39,0.636542467,298.0999994,4.80985563,Hyuck
tus_far,1,Angio,Open,17.34533952,3.07,36.75,0.293803044,265.0195285,3.001312986,Hyuck
tus_far,2,Angio,Open,13.19525838,1.82,38.43,0.247851211,280.9751852,2.694386122,Hyuck
tus_far,3,Angio,Open,14.35550846,2.32,35.49,0.298480433,286.8479677,3.057098873,Hyuck
