species,individual,plant_group,canopy,Photo,n_perc,c_perc,Cond,Ci,Trmmol,Site
tus_far,4,Angio,Open,11.81398671,1.82,33.74,0.174946387,260.6672824,2.117732603,Hyuck
tus_far,5,Angio,Open,8.146329634,1.94,39.06,0.113139987,259.8974091,1.480627451,Hyuck
urt_dio,1,Angio,Closed,7.469972403,3.78,39.67,0.181259357,315.0280869,1.721126955,Hyuck
urt_dio,2,Angio,Closed,3.401019234,2.6,37.15,0.115288512,340.0378442,1.231039385,Hyuck
urt_dio,3,Angio,Closed,5.253465148,2.49,35.78,0.245980392,350.3534412,2.115157326,Hyuck
urt_dio,4,Angio,Closed,5.205400796,3.73,38.41,0.14027804,324.983693,1.400317618,Hyuck
urt_dio,5,Angio,Closed,6.718017258,4.33,37.76,0.164486484,316.2120175,1.639222417,Hyuck
vio_sp,1,Angio,Closed,5.858144745,2.74,38.7,0.098261482,287.9185881,1.103412268,Hyuck
vio_sp,2,Angio,Closed,3.554581569,2.52,39.08,0.073830718,310.0451924,0.865882925,Hyuck
vio_sp,3,Angio,Closed,6.419317076,2.66,37.99,0.158908674,318.1651376,1.601747298,Hyuck
vio_sp,4,Angio,Closed,5.245587363,2.17,39.11,0.214048056,345.1645408,2.023332934,Hyuck
vio_sp,5,Angio,Closed,5.489646687,2.58,39.03,0.157190323,328.3472746,1.606322108,Hyuck
zigzag stem,1,Angio,Closed,4.413010661,1.49,42.44,0.044082606,219.3190229,0.800205989,Hyuck
zigzag stem,2,Angio,Closed,5.495883148,2.52,40.65,0.065890025,241.4534475,1.369740381,Hyuck
zigzag stem,3,Angio,Closed,5.240097542,2.14,42.66,0.062787798,241.5086213,1.302496869,Hyuck
zigzag stem,4,Angio,Closed,5.434452209,2.56,42.83,0.064066834,238.5906312,1.376348936,Hyuck
zigzag stem,5,Angio,Closed,4.855444763,2.35,43.12,0.048017988,212.9071551,1.212389811,Hyuck
adi_ped,1,Fern,Closed,1.75100646,3,47.14,0.012514363,165.8615935,0.176713753,Hyuck
adi_ped,2,Fern,Closed,1.0307253,3.45,46.91,0.009403574,215.3626671,0.141758998,Hyuck
adi_ped,3,Fern,Closed,3.072229486,3.87,47.07,0.027929596,210.1862895,0.381967266,Hyuck
adi_ped,4,Fern,Closed,2.963138794,3.56,45.74,0.023834095,186.9526587,0.360093671,Hyuck
adi_ped,5,Fern,Closed,2.948971485,3.28,46.69,0.030369794,229.7727374,0.436997157,Hyuck
Athfil- ML,1,Fern,Closed,4.298223711,2.1,43.6,0.085009809,301.0168165,0.978575393,Hyuck
Athfil- ML,2,Fern,Closed,6.517910195,1.6,41.2,0.097031416,272.2499934,1.149783346,Hyuck
Athfil- ML,3,Fern,Closed,4.906213804,1.3,45.7,0.081721119,285.2260529,1.098566971,Hyuck
Athfil- ML,4,Fern,Closed,4.523888435,1.4,43,0.078497763,289.6624862,1.028178452,Hyuck
Athfil- ML,5,Fern,Closed,4.140560266,1.3,42.7,0.080758057,300.5005517,0.982198128,Hyuck
Athfil-HL,1,Fern,Open,8.567526635,2.56,43.72,0.147635937,287.1197867,2.02616036,Hyuck
Athfil-HL,2,Fern,Open,8.293846291,2.4,42.55,0.156054148,289.531541,2.227951243,Hyuck
Athfil-HL,3,Fern,Open,5.458141149,2.33,42.05,0.176156858,334.1112602,2.298548938,Hyuck
Athfil-HL,4,Fern,Open,8.418768469,2.87,44.85,0.180787674,303.7335279,2.274965481,Hyuck
Athfil-HL,5,Fern,Open,6.730807036,2.47,43.23,0.144335394,305.7060335,1.83767251,Hyuck
den_pun,1,Fern,Open,4.366910285,2.69,47.39,0.029894839,149.0463432,0.448742567,Hyuck
den_pun,2,Fern,Open,6.384462341,3.01,47.14,0.037649775,110.2294377,0.606526373,Hyuck
den_pun,3,Fern,Open,4.554480307,1.56,47.28,0.033044509,161.1444498,0.607059233,Hyuck
den_pun,4,Fern,Open,6.220872825,2.43,47.55,0.051191264,186.5217003,0.845575319,Hyuck
den_pun,5,Fern,Open,0.922962491,1.62,47.68,0.006704128,168.7485309,0.126140043,Hyuck
dep_acr,1,Fern,Closed,1.967881724,2.84,42.29,0.053648378,330.2904562,0.642376572,Hyuck
dep_acr,2,Fern,Closed,1.97898754,2.125,41.835,0.044314156,318.5965197,0.531411716,Hyuck
dep_acr,3,Fern,Closed,2.834114882,2.82,43.98,0.055663056,308.0456242,0.636240019,Hyuck
dep_acr,4,Fern,Closed,2.360729259,2.49,45.47,0.065390298,332.1926893,0.735776675,Hyuck
dep_acr,5,Fern,Closed,2.590935949,3.28,43.96,0.078676541,336.8833644,0.886891982,Hyuck
dry_cri,1,Fern,Closed,0.499832929,3.15,46.37,0.007843158,290.4925621,0.090030608,Hyuck
dry_cri,2,Fern,Closed,0.685938753,3.27,46.29,0.012386572,301.7254293,0.166324965,Hyuck
dry_cri,3,Fern,Closed,6.62428412,1.86,44.48,0.117138435,285.7531493,1.974186342,Hyuck
dry_cri,4,Fern,Closed,4.657594471,,,0.066934065,266.5223786,1.163415786,Hyuck
dry_cri,5,Fern,Closed,4.735079641,2.59,43.9,0.060565714,254.7806258,0.984374904,Hyuck
dry_int,1,Fern,Closed,3.793370563,2.96,45.12,0.05915964,282.7711593,0.649810333,Hyuck
dry_int,2,Fern,Closed,3.499156683,3.19,45.51,0.057839894,289.483002,0.603722967,Hyuck
dry_int,4,Fern,Closed,4.930326112,2.91,43.97,0.085515242,289.9063463,1.066010106,Hyuck
dry_int,5,Fern,Closed,4.22908351,2.8,45.49,0.072836188,287.9619715,1.068646096,Hyuck
dry_int,6,Fern,Closed,2.753172522,2.83,45.23,0.049568703,293.8228698,0.845608875,Hyuck
dry_mar,1,Fern,Closed,1.28959665,2.47,44.8,0.001319886,-1156.407419,0.021032424,Hyuck
dry_mar,2,Fern,Closed,1.407442126,2.56,45.54,0.00200904,-719.7161708,0.031194934,Hyuck
dry_mar,3,Fern,Closed,3.335127825,2.49,45.3,0.019944096,119.2648502,0.291994887,Hyuck
dry_mar,4,Fern,Closed,2.270822788,2.45,44.48,0.014620123,140.0878091,0.229339749,Hyuck
dry_mar,5,Fern,Closed,3.365980384,2.6,49.11,0.033994166,227.4465933,0.480152806,Hyuck
ono_sen,1,Fern,Open,9.607595621,2.71,46.2,0.118874242,237.1143368,1.924729852,Hyuck
ono_sen,2,Fern,Open,10.88992361,2.76,45.35,0.165582841,257.8105361,2.483279719,Hyuck
ono_sen,3,Fern,Open,10.97701148,2.8,45.34,0.165223303,255.5175417,2.57406596,Hyuck
ono_sen,4,Fern,Open,11.09264369,2.93,45.99,0.188610115,269.2160621,2.596985914,Hyuck
ono_sen,5,Fern,Open,9.521569581,2.4,46.25,0.169138928,276.8445185,2.408028902,Hyuck
osm_cin,1,Fern,Open,5.206276749,2.1,45.79,0.051901194,219.6532624,1.02171049,Hyuck
osm_cin,2,Fern,Open,8.4867425,2.58,46.68,0.136225741,275.1960941,1.40992654,Hyuck
osm_cin,3,Fern,Open,9.230222376,2.46,46.05,0.134507073,261.192131,1.580417498,Hyuck
osm_cin,4,Fern,Open,7.542772728,2.32,47.04,0.093325247,243.5323039,1.496137145,Hyuck
osm_cin,5,Fern,Open,7.616961638,2.12,45.99,0.081787245,223.6097779,1.428649625,Hyuck
osm_cla,1,Fern,Closed,5.511910893,3.52,45.57,0.066130001,242.7180164,1.181574964,Hyuck
osm_cla,2,Fern,Closed,4.375283517,2.75,45.19,0.060524515,263.0605613,1.024339061,Hyuck
osm_cla,3,Fern,Closed,4.682744158,3.29,45.79,0.063862723,261.1011183,1.148127412,Hyuck
osm_cla,4,Fern,Closed,3.84237812,3.42,46.1,0.102692398,327.1225816,1.153596146,Hyuck
osm_cla,5,Fern,Closed,3.365131553,2.62,44.79,0.09397701,330.7416693,1.057401747,Hyuck
phe_con,1,Fern,Closed,0.831481517,2.94,40.44,0.036190169,353.9946528,0.442675251,Hyuck
phe_con,2,Fern,Closed,1.326057734,2.5,43.06,0.047503267,345.4294852,0.556979893,Hyuck
phe_con,3,Fern,Closed,2.158725464,3.235,43.64,0.048776445,318.6189195,0.582360268,Hyuck
phe_con,4,Fern,Closed,1.504629641,2.26,42.78,0.048097869,340.6643695,0.541440896,Hyuck
phe_con,5,Fern,Closed,3.143205063,,,0.064397136,309.7002792,0.720983895,Hyuck
pol_acr,1,Fern,Closed,3.471510202,1.91,43.88,0.037885229,235.0038834,0.732196067,Hyuck
pol_acr,2,Fern,Closed,3.038627119,2.4,43.6,0.032997217,235.3519898,0.702848202,Hyuck
pol_acr,3,Fern,Closed,4.292211791,2.21,43.97,0.048697355,240.2771384,1.05284346,Hyuck
pol_acr,4,Fern,Closed,3.517527687,1.65,43.8,0.042931329,250.0826856,0.887390273,Hyuck
pol_acr,5,Fern,Closed,2.798909127,2.16,42.88,0.028697771,228.5030622,0.575515054,Hyuck
pte_aqu,3,Fern,Closed,6.399563154,,,0.122302273,294.4213995,1.55162922,Hyuck
pte_aqu,4,Fern,Closed,8.042018279,,,0.11718398,262.9277962,1.958218535,Hyuck
pte_aqu,5,Fern,Closed,5.833607759,,,0.084401637,265.6126541,1.772152215,Hyuck
pte_aqu,6,Fern,Closed,8.069538214,,,0.158227028,293.0245488,1.526242572,Hyuck
pte_aqu,7,Fern,Closed,5.216438783,,,0.095961721,295.731328,0.570157856,Hyuck
SCEDIS,1,Fern,Closed,7.86,3.454,,,,,Colgate
SCEDIS,2,Fern,Closed,8.23,3.982,,,,,Colgate
SCEDIS,3,Fern,Closed,6.65,4.034,,,,,Colgate
SCEDIS,4,Fern,Closed,8.34,3.824,,,,,Colgate
SCEDIS,5,Fern,Closed,5.99,3.995,,,,,Colgate
SCEDIS,6,Fern,Closed,8.11,4.37,,,,,Colgate
SCEDIS,7,Fern,Closed,7.98,3.256,,,,,Colgate
SCEDIS,8,Fern,Closed,6.79,3.666,,,,,Colgate
SCEMUL,1,Fern,Closed,8.54,4.565,,,,,Colgate
SCEMUL,2,Fern,Closed,9.34,4.5,,,,,Colgate
SCEMUL,3,Fern,Closed,9.21,3.943,,,,,Colgate
SCEMUL,4,Fern,Closed,7.76,4.192,,,,,Colgate
SCEMUL,5,Fern,Closed,7.44,4.03,,,,,Colgate
SCEMUL,6,Fern,Closed,8.05,3.775,,,,,Colgate
SCEMUL,7,Fern,Closed,9.12,3.653,,,,,Colgate
SCEMUL,8,Fern,Closed,7.77,3.127,,,,,Colgate
the_nov,1,Fern,Closed,2.012182856,2.76,44.72,0.049843271,321.6704628,0.871088098,Hyuck
the_nov,2,Fern,Closed,2.288145114,1.89,46.03,0.041721851,298.0298456,0.731463413,Hyuck
the_nov,3,Fern,Closed,1.996219276,2.83,46.3,0.025859132,264.263704,0.448812897,Hyuck
the_nov,4,Fern,Closed,1.964449153,3.18,46.91,0.029975141,281.4842896,0.565108113,Hyuck
the_nov,5,Fern,Closed,2.878754129,2.92,46.52,0.041194254,273.0929994,0.751648919,Hyuck
den_den,1,Lyco,Closed,2.315875024,3.18,46.19,0.025703958,247.0920028,0.272183145,Hyuck
den_den,2,Lyco,Closed,3.950269837,2.79,46.74,0.029085852,170.9433242,0.267234771,Hyuck
den_den,3,Lyco,Closed,2.065721949,2.57,45.15,0.016084021,185.6867399,0.173508488,Hyuck
den_den,4,Lyco,Closed,2.368777572,2.62,45.94,0.022082505,217.6927543,0.279715141,Hyuck
den_den,5,Lyco,Closed,1.979629178,2.13,46.02,0.017496533,209.5687823,0.245036384,Hyuck
den_obs,1,Lyco,Closed,5.3618,1.58,45.58,,,,Colgate
den_obs,2,Lyco,Closed,4.3746,1.57,47.45,,,,Colgate
den_obs,3,Lyco,Closed,2.143770697,1.97,46.26,,,,Colgate
den_obs,4,Lyco,Closed,3.8573,1.81,45.26,,,,Colgate
den_obs,5,Lyco,Closed,3.47856,1.95,45.17,,,,Colgate
den_obs,6,Lyco,Closed,2.1736,1.92,45.12,,,,Colgate
den_obs,7,Lyco,Closed,2.94745,1.62,45.21,,,,Colgate
den_obs,8,Lyco,Closed,4.4352,1.74,45.36,,,,Colgate
dip_com,1,Lyco,Closed,3.933636794,1.51,43.7,,,,Colgate
dip_com,2,Lyco,Closed,3.548506139,1.28,42.92,,,,Colgate
dip_com,3,Lyco,Closed,3.885429442,1.42,42.72,,,,Colgate
dip_com,4,Lyco,Closed,3.628089609,1.38,43.67,,,,Colgate
dip_com,5,Lyco,Closed,2.763903377,1.61,43.24,,,,Colgate
dip_com,6,Lyco,Closed,2.984067221,1.58,42.87,,,,Colgate
dip_com,7,Lyco,Closed,3.281029754,,,,,,Colgate
dip_com,8,Lyco,Closed,2.875989859,1.54,43.13,,,,Colgate
dip_dig,1,Lyco,Closed,2.557785475,1.28,44.13,0.027410749,239.0557357,0.41836343,Hyuck
dip_dig,2,Lyco,Closed,2.601001813,1.6,43.81,0.023035111,207.5093181,0.367085964,Hyuck
dip_dig,3,Lyco,Closed,2.519962859,1.15,44.14,0.018390668,168.7884263,0.318385112,Hyuck
dip_dig,4,Lyco,Closed,2.714868104,1.28,44.05,0.031495284,245.5654391,0.690853443,Hyuck
dip_dig,5,Lyco,Closed,1.778949074,1.39,44.02,0.017438966,223.8009042,0.375627979,Hyuck
lyc_cla,1,Lyco,Closed,3.118164959,1.88,44.74,0.031150769,229.4085925,0.262639396,Hyuck
lyc_cla,1,Lyco,Closed,5.379009238,1.17,44.74,,,,Colgate
lyc_cla,2,Lyco,Closed,2.545674429,1.83,45.32,0.024202461,223.0421025,0.22803075,Hyuck
lyc_cla,2,Lyco,Closed,6.160321142,1.34,45.09,,,,Colgate
lyc_cla,3,Lyco,Closed,2.37631078,2.25,44.79,0.029419682,261.6442941,0.301777179,Hyuck
lyc_cla,3,Lyco,Closed,5.022006663,1.28,44.88,,,,Colgate
lyc_cla,4,Lyco,Closed,1.610482559,2.21,44.89,0.012987921,193.0950634,0.144074063,Hyuck
lyc_cla,4,Lyco,Closed,7.296288663,1.48,44.9,,,,Colgate
lyc_cla,5,Lyco,Closed,0.866191039,2.23,44.68,0.007614949,209.9522832,0.095591983,Hyuck
lyc_cla,5,Lyco,Closed,5.520456852,1.37,45.08,,,,Colgate
lyc_cla,6,Lyco,Closed,6.632206968,1.4,44.62,,,,Colgate
lyc_cla,7,Lyco,Closed,5.590668204,1.46,45.16,,,,Colgate
lyc_cla,8,Lyco,Closed,5.917061338,1.08,44.9,,,,Colgate
spi_ano,1,Lyco,Closed,3.776197369,1.5,45.66,,,,Colgate
spi_ano,2,Lyco,Closed,3.665993118,1.32,45.3,,,,Colgate
spi_ano,3,Lyco,Closed,3.364496489,1.13,46.02,,,,Colgate
spi_ano,4,Lyco,Closed,4.100591344,1.16,46.09,,,,Colgate
spi_ano,5,Lyco,Closed,4.20040044,1.3,44.29,,,,Colgate
spi_ano,6,Lyco,Closed,4.248451453,1.35,46.15,,,,Colgate
spi_ano,7,Lyco,Closed,3.774894,1.13,45.55,,,,Colgate
spi_ano,8,Lyco,Closed,3.294288238,1.27,44.81,,,,Colgate
