species,individual,mag_x,no_stomata,sto_den,plant_group
eup_pur,1,0.622,15,24.11575563,Angio
eup_pur,1,0.622,20,32.15434084,Angio
eup_pur,1,0.622,23,36.97749196,Angio
eup_pur,1,0.622,22,35.36977492,Angio
eup_pur,1,0.622,24,38.585209,Angio
eup_pur,1,0.622,18,28.93890675,Angio
eup_pur,1,0.622,24,38.585209,Angio
eup_pur,1,0.622,21,33.76205788,Angio
eup_pur,2,0.622,10,16.07717042,Angio
eup_pur,2,0.622,22,35.36977492,Angio
eup_pur,2,0.622,19,30.54662379,Angio
eup_pur,2,0.622,26,41.80064309,Angio
eup_pur,2,0.622,16,25.72347267,Angio
eup_pur,2,0.622,17,27.33118971,Angio
eup_pur,2,0.622,28,45.01607717,Angio
eup_pur,2,0.622,21,33.76205788,Angio
eup_pur,3,0.622,33,53.05466238,Angio
eup_pur,3,0.622,27,43.40836013,Angio
eup_pur,3,0.622,38,61.09324759,Angio
eup_pur,3,0.622,29,46.62379421,Angio
eup_pur,3,0.622,32,51.44694534,Angio
eup_pur,3,0.622,33,53.05466238,Angio
eup_pur,3,0.622,28,45.01607717,Angio
eup_pur,3,0.622,31,49.8392283,Angio
eup_pur,4,0.622,20,32.15434084,Angio
eup_pur,4,0.622,25,40.19292605,Angio
eup_pur,4,0.622,23,36.97749196,Angio
eup_pur,4,0.622,23,36.97749196,Angio
eup_pur,4,0.622,17,27.33118971,Angio
eup_pur,4,0.622,30,48.23151125,Angio
eup_pur,4,0.622,21,33.76205788,Angio
eup_pur,4,0.622,18,28.93890675,Angio
eup_pur,6,0.622,28,45.01607717,Angio
eup_pur,6,0.622,21,33.76205788,Angio
eup_pur,6,0.622,27,43.40836013,Angio
eup_pur,6,0.622,23,36.97749196,Angio
eup_pur,6,0.622,29,46.62379421,Angio
eup_pur,6,0.622,42,67.52411576,Angio
eup_pur,6,0.622,32,51.44694534,Angio
eup_pur,6,0.622,35,56.27009646,Angio
imp_pal,1,0.622,17,27.33118971,Angio
imp_pal,1,0.622,16,25.72347267,Angio
imp_pal,1,0.622,16,25.72347267,Angio
imp_pal,1,0.622,14,22.50803859,Angio
imp_pal,1,0.622,18,28.93890675,Angio
imp_pal,1,0.622,19,30.54662379,Angio
imp_pal,1,0.622,18,28.93890675,Angio
imp_pal,1,0.622,18,28.93890675,Angio
imp_pal,2,0.622,20,32.15434084,Angio
imp_pal,2,0.622,17,27.33118971,Angio
imp_pal,2,0.622,14,22.50803859,Angio
imp_pal,2,0.622,19,30.54662379,Angio
imp_pal,2,0.622,17,27.33118971,Angio
imp_pal,2,0.622,14,22.50803859,Angio
imp_pal,2,0.622,22,35.36977492,Angio
imp_pal,2,0.622,28,45.01607717,Angio
imp_pal,3,0.622,17,27.33118971,Angio
imp_pal,3,0.622,14,22.50803859,Angio
imp_pal,3,0.622,17,27.33118971,Angio
imp_pal,3,0.622,20,32.15434084,Angio
imp_pal,3,0.622,16,25.72347267,Angio
imp_pal,3,0.622,15,24.11575563,Angio
imp_pal,3,0.622,16,25.72347267,Angio
imp_pal,3,0.622,15,24.11575563,Angio
imp_pal,4,0.622,20,32.15434084,Angio
imp_pal,4,0.622,24,38.585209,Angio
imp_pal,4,0.622,23,36.97749196,Angio
imp_pal,4,0.622,24,38.585209,Angio
imp_pal,4,0.622,22,35.36977492,Angio
imp_pal,4,0.622,22,35.36977492,Angio
imp_pal,4,0.622,17,27.33118971,Angio
imp_pal,4,0.622,20,32.15434084,Angio
imp_pal,5,0.622,17,27.33118971,Angio
imp_pal,5,0.622,13,20.90032154,Angio
imp_pal,5,0.622,17,27.33118971,Angio
imp_pal,5,0.622,17,27.33118971,Angio
imp_pal,5,0.622,14,22.50803859,Angio
imp_pal,5,0.622,17,27.33118971,Angio
imp_pal,5,0.622,16,25.72347267,Angio
imp_pal,5,0.622,16,25.72347267,Angio
lys_cil,1,0.622,15,24.11575563,Angio
lys_cil,1,0.622,13,20.90032154,Angio
lys_cil,1,0.622,13,20.90032154,Angio
lys_cil,1,0.622,14,22.50803859,Angio
