species,individual,PARi,Photo,Cond,Ci,Trmmol
ath_fil,1,4.162163734,0.155933871,0.077248747,388.9440134,0.788136152
ath_fil,1,10.84020042,0.561298188,0.078789365,380.0116957,0.796849933
ath_fil,1,14.88909531,0.768094097,0.080126112,375.6446901,0.80378274
ath_fil,1,24.78597641,1.277904146,0.080739484,364.5418648,0.816225464
ath_fil,1,49.38648224,2.158896775,0.082278472,345.9384316,0.827394912
ath_fil,1,100.6996918,3.204146339,0.084385114,324.9013739,0.853466196
ath_fil,1,201.4254913,4.144297093,0.085430106,306.0620504,0.887634999
ath_fil,1,249.7043457,4.061789991,0.08657648,307.6729647,0.921215938
ath_fil,1,300.4444275,4.211327476,0.088000395,305.8153596,0.954139045
ath_fil,1,350.0428162,4.271101819,0.088520517,304.9608037,0.977387639
ath_fil,1,399.8262634,4.297893572,0.08807736,304.0843917,0.977843374
ath_fil,1,500.2962341,4.298223711,0.085009809,301.0168165,0.978575393
ath_fil,2,1.0367558,-0.305165571,0.069637474,398.9887198,0.824224016
ath_fil,2,4.576486111,-0.074401752,0.072266148,393.4379347,0.817388558
ath_fil,2,10.9610815,0.432510105,0.076035352,381.957049,0.84460666
ath_fil,2,15.41107559,0.573884972,0.078513606,379.0875223,0.865974179
ath_fil,2,24.68730927,1.15517212,0.080449651,366.6372918,0.895207478
ath_fil,2,49.43989182,2.361401371,0.084514928,342.7965675,0.941919673
ath_fil,2,100.2698059,4.042081819,0.088171882,311.058807,0.988238531
ath_fil,2,200.8440094,5.633115417,0.090565028,282.0587212,1.033476049
ath_fil,2,251.318634,5.968416915,0.092986606,278.2266691,1.063277832
ath_fil,2,299.5532532,6.254743598,0.095510781,275.5734165,1.084319451
ath_fil,2,350.3821411,6.239073247,0.097603661,278.0194953,1.124859618
ath_fil,2,400.0837402,6.256759503,0.097065188,277.0066421,1.129347548
ath_fil,2,499.7064819,6.517910195,0.097031416,272.2499934,1.149783346
ath_fil,3,0.739648938,-0.220245563,0.05881174,396.5460739,0.816256765
ath_fil,3,5.347692966,0.082599948,0.062326362,388.261832,0.820969407
ath_fil,3,8.853821754,0.251370511,0.064309148,383.9294243,0.839811021
ath_fil,3,16.21660042,0.770857588,0.069703742,371.8287637,0.885526284
ath_fil,3,24.98352242,1.17226211,0.072335815,362.7663974,0.902433696
ath_fil,3,50.76343536,2.246095718,0.075286344,339.1152704,0.93925694
ath_fil,3,99.92269135,3.369871493,0.075661349,313.3888749,0.949604442
ath_fil,3,200.6457672,4.246981589,0.078972873,296.754558,0.998054958
ath_fil,3,250.7537537,4.521773106,0.079349824,291.0752297,1.009395273
ath_fil,3,301.0266113,4.575275485,0.080624961,291.2476281,1.028243231
ath_fil,3,350.3340149,4.675529052,0.079798578,287.9664343,1.032187522
ath_fil,3,399.9164429,4.810653047,0.080143863,285.5239222,1.056024607
ath_fil,3,498.9202271,4.906213804,0.081721119,285.2260529,1.098566971
ath_fil,3,600.5625,4.860483177,0.081615822,285.9587487,1.106187532
ath_fil,4,0.568805039,-0.146696318,0.069909257,395.5334747,0.806006137
ath_fil,4,5.142989635,0.112701795,0.072852397,389.2012521,0.82386644
ath_fil,4,10.23656845,0.450845477,0.073943008,381.275883,0.832009408
ath_fil,4,14.65215111,0.828849701,0.073992555,372.3771262,0.836851911
ath_fil,4,24.25935555,1.176711091,0.074672247,364.2001401,0.856916166
ath_fil,4,50.63678741,2.253585918,0.075791757,339.53382,0.883908725
ath_fil,4,99.52022552,3.249603515,0.075965211,316.6013229,0.902756104
ath_fil,4,200.2067719,4.064056564,0.077884569,299.8811328,0.928473573
ath_fil,4,249.8779602,4.246769237,0.078941261,296.8064547,0.957768365
ath_fil,4,300.4850159,4.372183866,0.079174842,294.1053662,0.981867712
ath_fil,4,349.3531799,4.394180637,0.079584396,293.8302999,1.018953329
ath_fil,4,400.7280884,4.472069641,0.079279872,291.8729357,1.027300255
ath_fil,4,500.3545227,4.523888435,0.078497763,289.6624862,1.028178452
ath_fil,5,-0.004116766,-0.050083202,0.075390918,392.8350963,0.837818667
ath_fil,5,6.004219532,0.278027598,0.075442279,385.1665377,0.842122473
ath_fil,5,10.30774975,0.447152469,0.07720253,381.4891214,0.863239156
ath_fil,5,14.80031872,0.728412755,0.078523558,375.5494466,0.861939788
ath_fil,5,24.5352459,1.297087846,0.079892793,363.5576378,0.858794572
ath_fil,5,50.75930405,2.251822937,0.081087661,342.1912257,0.870367604
ath_fil,5,99.49748993,3.214617647,0.082688171,322.527325,0.874907976
ath_fil,5,199.7520599,3.853357654,0.083791709,309.8310085,0.886675102
ath_fil,5,249.6000977,3.879509378,0.083112705,308.6035103,0.899626433
ath_fil,5,299.7301331,3.891526729,0.083217276,308.3881104,0.924581795
ath_fil,5,350.7987976,4.055235924,0.080994716,302.6804898,0.931688109
ath_fil,5,399.6487732,3.973525061,0.080446211,303.7510436,0.955629377
ath_fil,5,499.2970581,4.140560266,0.080758057,300.5005517,0.982198128
den_den,1,0,-0.817585096,0.023317392,450.3562925,0.196627245
den_den,1,5,-0.418337817,0.023528713,422.4828581,0.196208532
den_den,1,10,-0.064514334,0.022301524,398.2402796,0.187118449
den_den,1,15,0.164455339,0.023260995,382.2437239,0.195611764
